id,project_reference,identifier,version,created_on,category_id,active
239,1674,18634,3,2019-03-30,3,false
240,1789,18634,4,2019-03-30,2,false
241,1701,18634,5,2019-03-30,4,false
242,1690,18634,6,2019-03-30,2,false
243,1927,18634,7,2019-03-30,4,false
244,1463,18634,8,2019-03-30,2,false
245,1399,18634,9,2019-03-30,1,true
246,1960,18634,10,2019-03-30,4,false
247,1674,19775,1,2019-03-30,2,false
248,1039,19775,2,2019-03-30,1,false
249,1859,19775,3,2019-03-30,3,false
250,1039,19775,4,2019-03-30,1,false
251,1434,19775,5,2019-03-30,4,false
252,1596,19775,6,2019-03-30,2,false
253,1295,19775,7,2019-03-30,2,false
254,1039,19775,8,2019-03-30,4,false
255,1039,19775,9,2019-03-30,1,true
256,1596,11924,1,2019-03-30,3,false
257,1463,11924,2,2019-03-30,3,false
258,1796,11924,3,2019-03-30,4,true
259,1596,17783,1,2019-03-30,2,false
260,1789,17783,2,2019-03-30,2,false
261,1039,17783,3,2019-03-30,1,false
262,1295,17783,4,2019-03-30,1,false
263,1295,17783,5,2019-03-30,2,false
264,1690,17783,6,2019-03-30,2,true
265,1902,18824,1,2019-03-30,3,false
266,1250,18824,2,2019-03-30,3,false
267,1902,18824,3,2019-03-30,2,false
268,1859,18824,4,2019-03-30,3,true
269,1789,10892,1,2019-03-30,2,false
270,1039,10892,2,2019-03-30,4,false
271,1789,10892,3,2019-03-30,3,false
272,1295,10892,4,2019-03-30,4,false
273,1399,10892,5,2019-03-30,3,false
274,1667,10892,6,2019-03-30,4,false
275,1859,10892,7,2019-03-30,4,false
276,1403,10892,8,2019-03-30,2,false
277,1295,10892,9,2019-03-30,2,true
278,1250,11070,1,2019-03-30,4,false
279,1596,11070,2,2019-03-30,1,false
280,1667,11070,3,2019-03-30,4,false
281,1789,11070,4,2019-03-30,3,true
282,1902,17550,1,2019-03-30,2,false
283,1128,17550,2,2019-03-30,2,false
284,1927,17550,3,2019-03-30,1,false
285,1789,17550,4,2019-03-30,4,false
286,1690,17550,5,2019-03-30,1,true
287,1960,19543,1,2019-03-30,2,false
288,1250,19543,2,2019-03-30,1,false
289,1859,19543,3,2019-03-30,3,false
290,1434,19543,4,2019-03-30,3,false
291,1434,19543,5,2019-03-30,3,false
292,1859,19543,6,2019-03-30,3,true
293,1809,19194,1,2019-03-30,3,false
294,1403,19194,2,2019-03-30,4,false
295,1034,19194,3,2019-03-30,3,true
296,1667,15740,1,2019-03-30,3,false
297,1755,15740,2,2019-03-30,3,false
298,1755,15740,3,2019-03-30,4,false
299,1789,15740,4,2019-03-30,4,false
300,1902,15740,5,2019-03-30,4,false
301,1789,15740,6,2019-03-30,3,true
302,1295,14038,1,2019-03-30,4,false
303,1674,14038,2,2019-03-30,4,false
304,1809,14038,3,2019-03-30,3,false
305,1070,14038,4,2019-03-30,2,false
306,1859,14038,5,2019-03-30,4,false
307,1295,14038,6,2019-03-30,1,false
308,1317,14038,7,2019-03-30,1,false
309,1755,14038,8,2019-03-30,4,false
310,1463,14038,9,2019-03-30,4,true
311,1317,14038,10,2019-03-30,3,false
312,1674,14262,1,2019-03-30,2,false
313,1434,14262,2,2019-03-30,4,false
314,1927,14262,3,2019-03-30,4,false
315,1927,14262,4,2019-03-30,1,false
316,1667,14262,5,2019-03-30,3,false
317,1789,14262,6,2019-03-30,4,false
318,1034,14262,7,2019-03-30,1,false
319,1399,14262,8,2019-03-30,3,false
320,1809,14262,9,2019-03-30,2,true
321,1960,14262,10,2019-03-30,1,false
322,1674,10580,1,2019-03-30,1,false
323,1796,10580,2,2019-03-30,2,false
324,1403,10580,3,2019-03-30,4,true
325,1295,17258,1,2019-03-30,3,false
326,1960,17258,2,2019-03-30,4,false
327,1463,17258,3,2019-03-30,1,false
328,1034,17258,4,2019-03-30,4,false
329,1859,17258,5,2019-03-30,4,false
330,1927,17258,6,2019-03-30,2,false
331,1960,17258,7,2019-03-30,1,false
332,1295,17258,8,2019-03-30,3,false
333,1403,17258,9,2019-03-30,4,true
334,1667,16408,1,2019-03-30,3,false
335,1295,16408,2,2019-03-30,3,false
336,1667,16408,3,2019-03-30,3,false
337,1034,16408,4,2019-03-30,3,false
338,1434,16408,5,2019-03-30,2,false
339,1463,16408,6,2019-03-30,1,false
340,1690,16408,7,2019-03-30,3,true
341,1809,16898,1,2019-03-30,2,false
342,1596,16898,2,2019-03-30,4,false
343,1463,16898,3,2019-03-30,1,false
344,1070,16898,4,2019-03-30,2,false
345,1796,16898,5,2019-03-30,4,false
346,1954,16898,6,2019-03-30,3,false
347,1796,16898,7,2019-03-30,2,false
348,1128,16898,8,2019-03-30,2,true
349,1399,17295,1,2019-03-30,2,false
350,1674,17295,2,2019-03-30,2,false
351,1295,17295,3,2019-03-30,3,false
352,1796,17295,4,2019-03-30,2,false
353,1859,17295,5,2019-03-30,2,true
354,1399,18655,1,2019-03-30,3,false
355,1463,18655,2,2019-03-30,3,false
356,1070,18655,3,2019-03-30,1,false
357,1902,18655,4,2019-03-30,2,false
358,1463,18655,5,2019-03-30,4,false
359,1070,18655,6,2019-03-30,3,false
360,1039,18655,7,2019-03-30,3,false
361,1960,18655,8,2019-03-30,4,true
362,1690,12665,1,2019-03-30,2,false
363,1859,12665,2,2019-03-30,4,false
364,1399,12665,3,2019-03-30,3,false
365,1927,12665,4,2019-03-30,2,false
366,1403,12665,5,2019-03-30,3,false
367,1690,12665,6,2019-03-30,4,false
368,1295,12665,7,2019-03-30,4,true
369,1954,18931,1,2019-03-30,1,false
370,1250,18931,2,2019-03-30,2,false
371,1701,18931,3,2019-03-30,1,false
372,1859,18931,4,2019-03-30,2,false
373,1070,18931,5,2019-03-30,1,false
374,1128,18931,6,2019-03-30,3,false
375,1317,18931,7,2019-03-30,4,false
376,1701,18931,8,2019-03-30,2,false
377,1434,18931,9,2019-03-30,2,true
378,1789,18931,10,2019-03-30,3,false
379,1927,17160,1,2019-03-30,1,false
380,1128,17160,2,2019-03-30,3,false
381,1039,17160,3,2019-03-30,3,false
382,1954,17160,4,2019-03-30,4,false
383,1701,17160,5,2019-03-30,1,false
384,1927,17160,6,2019-03-30,1,false
385,1796,17160,7,2019-03-30,4,false
386,1701,17160,8,2019-03-30,1,false
387,1859,17160,9,2019-03-30,2,true
388,1250,10216,1,2019-03-30,4,false
389,1403,10216,2,2019-03-30,4,false
390,1250,10216,3,2019-03-30,4,false
391,1809,10216,4,2019-03-30,2,false
392,1295,10216,5,2019-03-30,1,false
393,1317,10216,6,2019-03-30,2,false
394,1434,10216,7,2019-03-30,2,false
395,1809,10216,8,2019-03-30,2,true
396,1960,16582,1,2019-03-30,1,false
397,1463,16582,2,2019-03-30,2,false
398,1667,16582,3,2019-03-30,4,false
399,1690,16582,4,2019-03-30,3,false
400,1927,16582,5,2019-03-30,3,false
401,1434,16582,6,2019-03-30,2,false
402,1667,16582,7,2019-03-30,2,false
403,1434,16582,8,2019-03-30,2,false
404,1674,16582,9,2019-03-30,3,true
405,1809,12995,1,2019-03-30,3,false
406,1128,12995,2,2019-03-30,2,false
407,1755,12995,3,2019-03-30,4,false
408,1399,12995,4,2019-03-30,2,false
409,1317,12995,5,2019-03-30,1,false
410,1902,12995,6,2019-03-30,4,false
411,1399,12995,7,2019-03-30,3,true
412,1295,11157,1,2019-03-30,3,false
413,1434,11157,2,2019-03-30,3,false
414,1809,11157,3,2019-03-30,4,false
415,1403,11157,4,2019-03-30,2,false
416,1463,11157,5,2019-03-30,4,false
417,1701,11157,6,2019-03-30,1,true
418,1596,19748,1,2019-03-30,3,false
419,1809,19748,2,2019-03-30,4,false
420,1667,19748,3,2019-03-30,3,false
421,1674,19748,4,2019-03-30,3,false
422,1128,19748,5,2019-03-30,4,false
423,1295,19748,6,2019-03-30,2,false
424,1960,19748,7,2019-03-30,3,false
425,1690,19748,8,2019-03-30,4,true
426,1128,11508,1,2019-03-30,3,false
427,1789,11508,2,2019-03-30,2,false
428,1809,11508,3,2019-03-30,4,false
429,1295,11508,4,2019-03-30,1,false
430,1789,11508,5,2019-03-30,4,false
431,1701,11508,6,2019-03-30,2,false
432,1690,11508,7,2019-03-30,1,false
433,1960,11508,8,2019-03-30,1,false
434,1034,11508,9,2019-03-30,3,true
435,1128,11508,10,2019-03-30,4,false
436,1070,19249,1,2019-03-30,3,false
437,1596,19249,2,2019-03-30,4,false
438,1667,19249,3,2019-03-30,3,false
439,1295,19249,4,2019-03-30,1,false
440,1596,19249,5,2019-03-30,2,false
441,1690,19249,6,2019-03-30,1,false
442,1755,19249,7,2019-03-30,3,false
443,1690,19249,8,2019-03-30,4,false
444,1789,19249,9,2019-03-30,4,true
445,1250,19249,10,2019-03-30,3,false
446,1954,10093,1,2019-03-30,4,false
447,1039,10093,2,2019-03-30,4,false
448,1034,10093,3,2019-03-30,3,false
449,1667,10093,4,2019-03-30,4,false
450,1434,10093,5,2019-03-30,4,false
451,1954,10093,6,2019-03-30,2,false
452,1434,10093,7,2019-03-30,4,true
453,1034,12818,1,2019-03-30,4,false
454,1701,12818,2,2019-03-30,2,false
455,1859,12818,3,2019-03-30,1,false
456,1250,12818,4,2019-03-30,4,false
457,1434,12818,5,2019-03-30,3,false
458,1399,12818,6,2019-03-30,4,true
459,1690,15868,1,2019-03-30,4,false
460,1859,15868,2,2019-03-30,3,false
461,1927,15868,3,2019-03-30,3,true
462,1927,10888,1,2019-03-30,2,false
463,1674,10888,2,2019-03-30,2,false
464,1463,10888,3,2019-03-30,2,false
465,1809,10888,4,2019-03-30,4,false
466,1902,10888,5,2019-03-30,2,false
467,1960,10888,6,2019-03-30,1,true
468,1809,18760,1,2019-03-30,1,false
469,1403,18760,2,2019-03-30,3,false
470,1596,18760,3,2019-03-30,4,false
471,1960,18760,4,2019-03-30,1,true
472,1902,10827,1,2019-03-30,1,false
473,1954,10827,2,2019-03-30,1,false
474,1399,10827,3,2019-03-30,1,false
475,1034,10827,4,2019-03-30,2,false
476,1128,10827,5,2019-03-30,3,false
477,1317,10827,6,2019-03-30,2,false
478,1809,10827,7,2019-03-30,4,false
479,1674,10827,8,2019-03-30,3,false
480,1596,10827,9,2019-03-30,3,true
481,1317,10827,10,2019-03-30,4,false
482,1034,15303,1,2019-03-30,4,false
483,1789,15303,2,2019-03-30,2,false
484,1674,15303,3,2019-03-30,3,false
485,1317,15303,4,2019-03-30,1,false
486,1674,15303,5,2019-03-30,4,false
487,1399,15303,6,2019-03-30,1,false
488,1755,15303,7,2019-03-30,2,false
489,1034,15303,8,2019-03-30,3,false
490,1463,15303,9,2019-03-30,1,true
491,1902,15303,10,2019-03-30,4,false
492,1902,10988,1,2019-03-30,2,false
493,1690,10988,2,2019-03-30,4,false
494,1039,10988,3,2019-03-30,2,false
495,1674,10988,4,2019-03-30,1,false
496,1403,10988,5,2019-03-30,3,false
497,1295,10988,6,2019-03-30,1,false
498,1667,10988,7,2019-03-30,2,true
499,1927,10717,1,2019-03-30,1,false
500,1434,10717,2,2019-03-30,3,false
501,1809,10717,3,2019-03-30,4,false
502,1796,10717,4,2019-03-30,1,false
503,1034,10717,5,2019-03-30,1,false
504,1070,10717,6,2019-03-30,4,false
505,1039,10717,7,2019-03-30,1,false
506,1039,10717,8,2019-03-30,3,false
507,1927,10717,9,2019-03-30,4,true
508,1463,10717,10,2019-03-30,4,false
509,1317,19167,1,2019-03-30,4,false
510,1399,19167,2,2019-03-30,2,false
511,1674,19167,3,2019-03-30,4,false
512,1902,19167,4,2019-03-30,1,false
513,1674,19167,5,2019-03-30,1,false
514,1674,19167,6,2019-03-30,1,true
515,1667,18137,1,2019-03-30,4,false
516,1403,18137,2,2019-03-30,4,false
517,1039,18137,3,2019-03-30,1,false
518,1755,18137,4,2019-03-30,2,true
519,1809,13797,1,2019-03-30,2,false
520,1317,13797,2,2019-03-30,2,false
521,1034,13797,3,2019-03-30,1,false
522,1927,13797,4,2019-03-30,4,false
523,1596,13797,5,2019-03-30,1,false
524,1701,13797,6,2019-03-30,4,false
525,1596,13797,7,2019-03-30,4,false
526,1463,13797,8,2019-03-30,2,false
527,1755,13797,9,2019-03-30,2,true
528,1927,19230,1,2019-03-30,4,false
529,1070,19230,2,2019-03-30,4,false
530,1954,19230,3,2019-03-30,3,false
531,1954,19230,4,2019-03-30,1,false
532,1902,19230,5,2019-03-30,1,false
533,1960,19230,6,2019-03-30,2,false
534,1954,19230,7,2019-03-30,1,false
535,1128,19230,8,2019-03-30,3,false
536,1796,19230,9,2019-03-30,2,true
537,1701,19230,10,2019-03-30,1,false
538,1295,13350,1,2019-03-30,2,false
539,1927,13350,2,2019-03-30,2,false
540,1859,13350,3,2019-03-30,2,false
541,1789,13350,4,2019-03-30,1,false
542,1954,13350,5,2019-03-30,2,false
543,1128,13350,6,2019-03-30,4,false
544,1902,13350,7,2019-03-30,2,true
545,1434,18101,1,2019-03-30,1,false
546,1128,18101,2,2019-03-30,2,false
547,1128,18101,3,2019-03-30,2,false
548,1434,18101,4,2019-03-30,2,false
549,1960,18101,5,2019-03-30,3,false
550,1034,18101,6,2019-03-30,1,false
551,1463,18101,7,2019-03-30,2,false
552,1434,18101,8,2019-03-30,3,true
553,1690,13274,1,2019-03-30,2,false
554,1463,13274,2,2019-03-30,1,false
555,1434,13274,3,2019-03-30,4,false
556,1902,13274,4,2019-03-30,3,false
557,1859,13274,5,2019-03-30,2,false
558,1596,13274,6,2019-03-30,1,false
559,1755,13274,7,2019-03-30,4,true
560,1295,14879,1,2019-03-30,2,false
561,1809,14879,2,2019-03-30,2,false
562,1674,14879,3,2019-03-30,1,false
563,1690,14879,4,2019-03-30,4,false
564,1034,14879,5,2019-03-30,3,false
565,1317,14879,6,2019-03-30,4,false
566,1070,14879,7,2019-03-30,2,false
567,1796,14879,8,2019-03-30,3,false
568,1463,14879,9,2019-03-30,4,true
569,1954,19807,1,2019-03-30,3,false
570,1463,19807,2,2019-03-30,4,false
571,1128,19807,3,2019-03-30,4,false
572,1902,19807,4,2019-03-30,2,false
573,1070,19807,5,2019-03-30,2,false
574,1128,19807,6,2019-03-30,4,false
575,1070,19807,7,2019-03-30,1,true
576,1039,11557,1,2019-03-30,4,false
577,1859,11557,2,2019-03-30,3,false
578,1701,11557,3,2019-03-30,1,false
579,1434,11557,4,2019-03-30,1,false
580,1796,11557,5,2019-03-30,3,false
581,1796,11557,6,2019-03-30,2,true
582,1317,15265,1,2019-03-30,2,false
583,1954,15265,2,2019-03-30,3,false
584,1070,15265,3,2019-03-30,3,true
585,1902,19446,1,2019-03-30,2,false
586,1927,19446,2,2019-03-30,2,false
587,1859,19446,3,2019-03-30,3,false
588,1463,19446,4,2019-03-30,1,false
589,1403,19446,5,2019-03-30,3,false
590,1295,19446,6,2019-03-30,3,true
591,1960,13449,1,2019-03-30,1,false
592,1927,13449,2,2019-03-30,3,false
593,1809,13449,3,2019-03-30,2,true
594,1434,10676,1,2019-03-30,3,false
595,1960,10676,2,2019-03-30,2,false
596,1902,10676,3,2019-03-30,4,false
597,1399,10676,4,2019-03-30,3,true
598,1927,10975,1,2019-03-30,1,false
599,1317,10975,2,2019-03-30,4,false
600,1690,10975,3,2019-03-30,2,false
601,1039,10975,4,2019-03-30,1,false
602,1902,10975,5,2019-03-30,2,false
603,1954,10975,6,2019-03-30,2,false
604,1463,10975,7,2019-03-30,1,true
605,1034,14896,1,2019-03-30,4,false
606,1596,14896,2,2019-03-30,3,false
607,1250,14896,3,2019-03-30,1,false
608,1403,14896,4,2019-03-30,3,false
609,1902,14896,5,2019-03-30,3,false
610,1954,14896,6,2019-03-30,1,false
611,1927,14896,7,2019-03-30,1,false
612,1755,14896,8,2019-03-30,3,false
613,1039,14896,9,2019-03-30,2,true
614,1755,14896,10,2019-03-30,1,false
615,1755,12495,1,2019-03-30,2,false
616,1399,12495,2,2019-03-30,3,false
617,1399,12495,3,2019-03-30,1,false
618,1701,12495,4,2019-03-30,2,false
619,1902,12495,5,2019-03-30,1,true
620,1596,14087,1,2019-03-30,1,false
621,1034,14087,2,2019-03-30,2,false
622,1954,14087,3,2019-03-30,1,false
623,1034,14087,4,2019-03-30,1,false
624,1954,14087,5,2019-03-30,2,false
625,1960,14087,6,2019-03-30,1,true
626,1796,17383,1,2019-03-30,1,false
627,1796,17383,2,2019-03-30,3,false
628,1701,17383,3,2019-03-30,3,false
629,1755,17383,4,2019-03-30,4,true
630,1954,17584,1,2019-03-30,1,false
631,1039,17584,2,2019-03-30,4,false
632,1128,17584,3,2019-03-30,2,true
633,1596,18240,1,2019-03-30,4,false
634,1954,18240,2,2019-03-30,2,false
635,1250,18240,3,2019-03-30,4,false
636,1667,18240,4,2019-03-30,4,false
637,1463,18240,5,2019-03-30,2,false
638,1317,18240,6,2019-03-30,1,true
639,1809,12525,1,2019-03-30,1,false
640,1690,12525,2,2019-03-30,1,false
641,1789,12525,3,2019-03-30,2,false
642,1789,12525,4,2019-03-30,1,false
643,1463,12525,5,2019-03-30,2,false
644,1701,12525,6,2019-03-30,1,false
645,1927,12525,7,2019-03-30,4,false
646,1809,12525,8,2019-03-30,2,true
647,1674,11985,1,2019-03-30,1,false
648,1463,11985,2,2019-03-30,4,false
649,1796,11985,3,2019-03-30,4,false
650,1596,11985,4,2019-03-30,1,false
651,1128,11985,5,2019-03-30,1,false
652,1399,11985,6,2019-03-30,3,false
653,1789,11985,7,2019-03-30,3,true
654,1128,12627,1,2019-03-30,2,false
655,1434,12627,2,2019-03-30,3,false
656,1789,12627,3,2019-03-30,3,false
657,1954,12627,4,2019-03-30,4,false
658,1434,12627,5,2019-03-30,4,false
659,1690,12627,6,2019-03-30,2,false
660,1902,12627,7,2019-03-30,3,false
661,1596,12627,8,2019-03-30,3,false
662,1927,12627,9,2019-03-30,3,true
663,1960,12627,10,2019-03-30,3,false
664,1859,17128,1,2019-03-30,4,false
